Element,Statement Coverage Percentage,Statement Coverage,Branch Coverage Percentage,Branch Coverage,Missed,Cxty,Total Complexity,Missed,Lines,Missed,Methods,Missed,Classes
org.apache.commons.math4.stat.interval,88%,0.88,81%,0.81,10,63,73,13,179,6,52,0,12
org.apache.commons.math4.special,99%,0.99,85%,0.85,24,80,104,18,276,6,13,0,3
org.apache.commons.math4.distribution.fitting,96%,0.96,89%,0.89,8,54,62,23,220,3,22,0,3
org.apache.commons.math4.ml.neuralnet.sofm.util,80%,0.8,100%,1,7,22,29,14,63,7,15,0,4
org.apache.commons.math4.geometry.euclidean.oned,99%,0.99,93%,0.93,16,316,332,12,"1,251",5,233,0,20
org.apache.commons.math4.geometry.euclidean.twod.hull,99%,0.99,86%,0.86,23,132,155,10,378,2,52,0,8
org.apache.commons.math4.ml.neuralnet.oned,95%,0.95,90%,0.9,6,37,43,5,121,2,15,0,3
org.apache.commons.math4.exception.util,99%,0.99,96%,0.96,7,73,80,12,556,5,44,1,8
org.apache.commons.math4.stat.descriptive.summary,95%,0.95,75%,0.75,11,77,88,13,217,5,65,0,8
org.apache.commons.math4.analysis.integration.gauss,98%,0.98,97%,0.97,3,151,154,7,537,0,85,0,24
org.apache.commons.math4.stat.data,92%,0.92,90%,0.9,2,21,23,5,68,0,11,0,3
org.apache.commons.math4.optim.nonlinear.scalar.gradient,99%,0.99,84%,0.84,8,69,77,4,271,0,42,0,11
org.apache.commons.math4.geometry.enclosing,99%,0.99,90%,0.9,9,80,89,1,202,0,31,0,4
org.apache.commons.math4.ml.clustering.evaluation,97%,0.97,90%,0.9,3,22,25,3,55,1,11,0,3
org.apache.commons.math4.ml.distance,100%,1,100%,1,0,31,31,0,83,0,27,0,10
Total,92%,0.92,83%,0.83,"5,123","27,546","32,669","10,155","94,435","1,408","13,658",66,"1,853"
